Spending Score (1-100),Annual Income (k$),Cluster
39,15,1
81,15,3
6,16,1
77,16,3
40,17,1
76,17,3
6,18,1
94,18,3
3,19,1
72,19,3
14,19,1
99,19,3
15,20,1
77,20,3
13,20,1
79,20,3
35,21,1
66,21,3
29,23,1
98,23,3
35,24,1
73,24,3
5,25,1
73,25,3
14,28,1
82,28,3
32,28,1
61,28,3
31,29,1
87,29,3
4,30,1
73,30,3
4,33,1
92,33,3
14,33,1
81,33,3
17,34,1
73,34,3
26,37,1
75,37,3
35,38,1
92,38,3
36,39,1
61,39,2
28,39,1
65,39,2
55,40,2
47,40,2
42,40,2
42,40,2
52,42,2
60,42,2
54,43,2
60,43,2
45,43,2
41,43,2
50,44,2
46,44,2
51,46,2
46,46,2
56,46,2
55,46,2
52,47,2
59,47,2
51,48,2
59,48,2
50,48,2
48,48,2
59,48,2
47,48,2
55,49,2
42,49,2
49,50,2
56,50,2
47,54,2
54,54,2
53,54,2
48,54,2
52,54,2
42,54,2
51,54,2
55,54,2
41,54,2
44,54,2
57,54,2
46,54,2
58,57,2
55,57,2
60,58,2
46,58,2
55,59,2
41,59,2
49,60,2
40,60,2
42,60,2
52,60,2
47,60,2
50,60,2
42,61,2
49,61,2
41,62,2
48,62,2
59,62,2
55,62,2
56,62,2
42,62,2
50,63,2
46,63,2
43,63,2
48,63,2
52,63,2
54,63,2
42,64,2
46,64,2
48,65,2
50,65,2
43,65,2
59,65,2
43,67,2
57,67,2
56,67,2
40,67,2
58,69,2
91,69,0
29,70,2
77,70,0
35,71,2
95,71,0
11,71,5
75,71,0
9,71,5
75,71,0
34,72,2
71,72,0
5,73,5
88,73,0
7,73,5
73,73,0
10,74,5
72,74,0
5,75,5
93,75,0
40,76,2
87,76,0
12,77,5
97,77,0
36,77,2
74,77,0
22,78,5
90,78,0
17,78,5
88,78,0
20,78,5
76,78,0
16,78,5
89,78,0
1,78,5
78,78,0
1,78,5
73,78,0
35,79,2
83,79,0
5,81,5
93,81,0
26,85,5
75,85,0
20,86,5
95,86,0
27,87,5
63,87,0
13,87,5
75,87,0
10,87,5
92,87,0
13,88,5
86,88,0
15,88,5
69,88,0
14,93,5
90,93,0
32,97,4
86,97,0
15,98,5
88,98,0
39,99,4
97,99,0
24,101,4
68,101,0
17,103,4
85,103,0
23,103,4
69,103,0
8,113,4
91,113,0
16,120,4
79,120,0
28,126,4
74,126,0
18,137,4
83,137,0
