Spending Score (1-100),Annual Income (k$),Cluster
39.0,15.0,2
81.0,15.0,0
6.0,16.0,1
77.0,16.0,0
40.0,17.0,2
76.0,17.0,0
6.0,18.0,1
94.0,18.0,-1
3.0,19.0,1
72.0,19.0,0
14.0,19.0,1
99.0,19.0,-1
15.0,20.0,1
77.0,20.0,0
13.0,20.0,1
79.0,20.0,0
35.0,21.0,2
66.0,21.0,0
29.0,23.0,2
98.0,23.0,-1
35.0,24.0,2
73.0,24.0,0
5.0,25.0,1
73.0,25.0,0
14.0,28.0,1
82.0,28.0,0
32.0,28.0,2
61.0,28.0,-1
31.0,29.0,2
87.0,29.0,0
4.0,30.0,1
73.0,30.0,0
4.0,33.0,1
92.0,33.0,0
14.0,33.0,1
81.0,33.0,0
17.0,34.0,1
73.0,34.0,0
26.0,37.0,3
75.0,37.0,0
35.0,38.0,3
92.0,38.0,-1
36.0,39.0,3
61.0,39.0,3
28.0,39.0,3
65.0,39.0,3
55.0,40.0,3
47.0,40.0,3
42.0,40.0,3
42.0,40.0,3
52.0,42.0,3
60.0,42.0,3
54.0,43.0,3
60.0,43.0,3
45.0,43.0,3
41.0,43.0,3
50.0,44.0,3
46.0,44.0,3
51.0,46.0,3
46.0,46.0,3
56.0,46.0,3
55.0,46.0,3
52.0,47.0,3
59.0,47.0,3
51.0,48.0,3
59.0,48.0,3
50.0,48.0,3
48.0,48.0,3
59.0,48.0,3
47.0,48.0,3
55.0,49.0,3
42.0,49.0,3
49.0,50.0,3
56.0,50.0,3
47.0,54.0,3
54.0,54.0,3
53.0,54.0,3
48.0,54.0,3
52.0,54.0,3
42.0,54.0,3
51.0,54.0,3
55.0,54.0,3
41.0,54.0,3
44.0,54.0,3
57.0,54.0,3
46.0,54.0,3
58.0,57.0,3
55.0,57.0,3
60.0,58.0,3
46.0,58.0,3
55.0,59.0,3
41.0,59.0,3
49.0,60.0,3
40.0,60.0,3
42.0,60.0,3
52.0,60.0,3
47.0,60.0,3
50.0,60.0,3
42.0,61.0,3
49.0,61.0,3
41.0,62.0,3
48.0,62.0,3
59.0,62.0,3
55.0,62.0,3
56.0,62.0,3
42.0,62.0,3
50.0,63.0,3
46.0,63.0,3
43.0,63.0,3
48.0,63.0,3
52.0,63.0,3
54.0,63.0,3
42.0,64.0,3
46.0,64.0,3
48.0,65.0,3
50.0,65.0,3
43.0,65.0,3
59.0,65.0,3
43.0,67.0,3
57.0,67.0,3
56.0,67.0,3
40.0,67.0,3
58.0,69.0,3
91.0,69.0,4
29.0,70.0,3
77.0,70.0,4
35.0,71.0,3
95.0,71.0,4
11.0,71.0,5
75.0,71.0,4
9.0,71.0,5
75.0,71.0,4
34.0,72.0,3
71.0,72.0,4
5.0,73.0,5
88.0,73.0,4
7.0,73.0,5
73.0,73.0,4
10.0,74.0,5
72.0,74.0,4
5.0,75.0,5
93.0,75.0,4
40.0,76.0,3
87.0,76.0,4
12.0,77.0,5
97.0,77.0,4
36.0,77.0,3
74.0,77.0,4
22.0,78.0,5
90.0,78.0,4
17.0,78.0,5
88.0,78.0,4
20.0,78.0,5
76.0,78.0,4
16.0,78.0,5
89.0,78.0,4
1.0,78.0,5
78.0,78.0,4
1.0,78.0,5
73.0,78.0,4
35.0,79.0,3
83.0,79.0,4
5.0,81.0,5
93.0,81.0,4
26.0,85.0,5
75.0,85.0,4
20.0,86.0,5
95.0,86.0,4
27.0,87.0,5
63.0,87.0,4
13.0,87.0,5
75.0,87.0,4
10.0,87.0,5
92.0,87.0,4
13.0,88.0,5
86.0,88.0,4
15.0,88.0,5
69.0,88.0,4
14.0,93.0,5
90.0,93.0,4
32.0,97.0,-1
86.0,97.0,4
15.0,98.0,5
88.0,98.0,4
39.0,99.0,-1
97.0,99.0,-1
24.0,101.0,6
68.0,101.0,-1
17.0,103.0,6
85.0,103.0,4
23.0,103.0,6
69.0,103.0,-1
8.0,113.0,-1
91.0,113.0,-1
16.0,120.0,-1
79.0,120.0,-1
28.0,126.0,-1
74.0,126.0,-1
18.0,137.0,-1
83.0,137.0,-1
