child_mort,gdpp,Cluster
90.2,553,0
16.6,4090,0
27.3,4460,0
119.0,3530,0
10.3,12200,0
14.5,10300,0
18.1,3220,0
4.8,51900,0
4.3,46900,0
39.2,5840,0
13.8,28000,0
8.6,20700,0
49.4,758,0
14.2,16000,0
5.5,6030,0
4.5,44400,0
18.8,4340,0
111.0,758,0
42.7,2180,0
46.6,1980,0
6.9,4610,0
52.5,6350,0
19.8,11200,0
10.5,35300,0
10.8,6840,0
116.0,575,0
93.6,231,0
44.4,786,0
108.0,1310,0
5.6,47400,0
26.5,3310,0
149.0,446,0
150.0,897,0
8.7,12900,0
15.7,4560,0
18.6,6250,0
88.2,769,0
116.0,334,0
63.9,2740,0
10.2,8200,0
111.0,1220,0
5.5,13500,0
3.6,30800,0
3.4,19800,0
4.1,58000,0
34.4,5450,0
25.1,4660,0
29.1,2600,0
19.2,2990,0
111.0,17100,0
55.2,482,0
4.5,14600,0
24.1,3650,0
3.0,46200,0
4.2,40600,0
63.7,8750,0
80.3,562,0
16.5,2960,0
4.2,41800,0
74.7,1310,0
3.9,26900,0
14.6,7370,0
35.4,2830,0
109.0,648,0
114.0,547,0
37.6,3040,0
208.0,662,0
6.0,13100,0
2.6,41900,0
58.8,1350,0
33.3,3110,0
19.3,6530,0
36.9,4500,0
4.2,48700,0
4.6,30600,0
4.0,35800,0
18.1,4680,0
3.2,44500,0
21.1,3680,0
21.5,9070,0
62.2,967,0
62.7,1490,0
10.8,38500,0
29.6,880,0
78.9,1140,0
7.8,11300,0
10.3,8860,0
99.7,1170,0
89.3,327,0
16.6,12100,0
6.1,12000,0
2.8,105000,0
10.4,4540,0
62.2,413,0
90.5,459,0
7.9,9070,0
13.2,7100,0
137.0,708,0
6.8,21100,0
97.4,1200,0
15.0,8000,0
40.0,2860,0
17.2,1630,0
26.1,2650,0
6.8,6680,0
33.5,2830,0
101.0,419,0
64.4,988,0
56.0,5190,0
47.0,592,0
4.5,50300,0
6.2,33700,0
123.0,348,0
130.0,2330,0
3.2,87800,0
11.7,19300,0
92.1,1040,0
19.7,8080,0
24.1,3230,0
20.3,5020,0
31.9,2130,0
6.0,12600,0
3.9,22500,0
9.0,70300,0
11.5,8230,0
10.0,10700,0
63.6,563,0
18.9,3450,0
15.7,19300,0
66.8,1000,0
7.6,5410,0
14.4,10800,0
160.0,399,0
2.8,46600,0
7.0,16600,0
3.2,23400,0
28.1,1290,0
53.7,7280,0
4.1,22100,0
3.8,30700,0
11.2,2810,0
20.7,6230,0
76.7,1480,0
24.1,8300,0
3.0,52100,0
4.5,74600,0
52.4,738,0
71.9,702,0
14.9,5080,0
62.6,3600,0
90.3,488,0
17.4,3550,0
17.4,4140,0
19.1,10700,0
62.0,4440,0
81.0,595,0
11.7,2970,0
8.6,35000,0
5.2,38900,0
7.3,48400,0
10.6,11900,0
36.3,1380,0
29.2,2970,0
17.1,13500,0
23.3,1310,0
56.3,1310,0
83.1,1460,0
