Spending Score (1-100),Annual Income (k$),Cluster
39,15,1
81,15,3
6,16,1
77,16,3
40,17,1
76,17,3
6,18,1
94,18,3
3,19,1
72,19,3
14,19,1
99,19,3
15,20,1
77,20,3
13,20,1
79,20,3
35,21,1
66,21,3
29,23,1
98,23,3
35,24,1
73,24,3
5,25,1
73,25,3
14,28,1
82,28,3
32,28,1
61,28,3
31,29,1
87,29,3
4,30,1
73,30,3
4,33,1
92,33,3
14,33,1
81,33,3
17,34,1
73,34,3
26,37,1
75,37,3
35,38,1
92,38,3
36,39,1
61,39,0
28,39,1
65,39,0
55,40,0
47,40,0
42,40,0
42,40,0
52,42,0
60,42,0
54,43,0
60,43,0
45,43,0
41,43,0
50,44,0
46,44,0
51,46,0
46,46,0
56,46,0
55,46,0
52,47,0
59,47,0
51,48,0
59,48,0
50,48,0
48,48,0
59,48,0
47,48,0
55,49,0
42,49,0
49,50,0
56,50,0
47,54,0
54,54,0
53,54,0
48,54,0
52,54,0
42,54,0
51,54,0
55,54,0
41,54,0
44,54,0
57,54,0
46,54,0
58,57,0
55,57,0
60,58,0
46,58,0
55,59,0
41,59,0
49,60,0
40,60,0
42,60,0
52,60,0
47,60,0
50,60,0
42,61,0
49,61,0
41,62,0
48,62,0
59,62,0
55,62,0
56,62,0
42,62,0
50,63,0
46,63,0
43,63,0
48,63,0
52,63,0
54,63,0
42,64,0
46,64,0
48,65,0
50,65,0
43,65,0
59,65,0
43,67,0
57,67,0
56,67,0
40,67,0
58,69,0
91,69,2
29,70,0
77,70,2
35,71,0
95,71,2
11,71,5
75,71,2
9,71,5
75,71,2
34,72,0
71,72,2
5,73,5
88,73,2
7,73,5
73,73,2
10,74,5
72,74,2
5,75,5
93,75,2
40,76,0
87,76,2
12,77,5
97,77,2
36,77,0
74,77,2
22,78,5
90,78,2
17,78,5
88,78,2
20,78,5
76,78,2
16,78,5
89,78,2
1,78,5
78,78,2
1,78,5
73,78,2
35,79,0
83,79,2
5,81,5
93,81,2
26,85,5
75,85,2
20,86,5
95,86,2
27,87,5
63,87,2
13,87,5
75,87,2
10,87,5
92,87,2
13,88,5
86,88,2
15,88,5
69,88,2
14,93,5
90,93,6
32,97,4
86,97,6
15,98,5
88,98,6
39,99,4
97,99,6
24,101,4
68,101,2
17,103,4
85,103,6
23,103,4
69,103,2
8,113,4
91,113,6
16,120,4
79,120,6
28,126,4
74,126,6
18,137,4
83,137,6
