child_mort,life_expec,total_fer,Cluster
90.2,56.2,5.82,1
16.6,76.3,1.65,2
27.3,76.5,2.89,2
119.0,60.1,6.16,1
10.3,76.8,2.13,2
14.5,75.8,2.37,2
18.1,73.3,1.69,2
4.8,82.0,1.93,2
4.3,80.5,1.44,2
39.2,69.1,1.92,0
13.8,73.8,1.86,2
8.6,76.0,2.16,2
49.4,70.4,2.33,0
14.2,76.7,1.78,2
5.5,70.4,1.49,2
4.5,80.0,1.86,2
18.8,71.4,2.71,0
111.0,61.8,5.36,1
42.7,72.1,2.38,0
46.6,71.6,3.2,0
6.9,76.8,1.31,2
52.5,57.1,2.88,0
19.8,74.2,1.8,2
10.5,77.1,1.84,2
10.8,73.9,1.57,2
116.0,57.9,5.87,1
93.6,57.7,6.26,1
44.4,66.1,2.88,0
108.0,57.3,5.11,1
5.6,81.3,1.63,2
26.5,72.5,2.67,0
149.0,47.5,5.21,1
150.0,56.5,6.59,1
8.7,79.1,1.88,2
15.7,74.6,1.59,2
18.6,76.4,2.01,2
88.2,65.9,4.75,1
116.0,57.5,6.54,1
63.9,60.4,4.95,1
10.2,80.4,1.92,2
111.0,56.3,5.27,1
5.5,76.3,1.55,2
3.6,79.9,1.42,2
3.4,77.5,1.51,2
4.1,79.5,1.87,2
34.4,74.6,2.6,2
25.1,76.7,2.66,2
29.1,70.5,3.19,0
19.2,74.1,2.27,2
111.0,60.9,5.21,1
55.2,61.7,4.61,0
4.5,76.0,1.72,2
24.1,65.3,2.67,0
3.0,80.0,1.87,2
4.2,81.4,2.03,2
63.7,62.9,4.08,0
80.3,65.5,5.71,1
16.5,72.8,1.92,2
4.2,80.1,1.39,2
74.7,62.2,4.27,1
3.9,80.4,1.48,2
14.6,71.3,2.24,2
35.4,71.3,3.38,0
109.0,58.0,5.34,1
114.0,55.6,5.05,1
37.6,65.5,2.65,0
208.0,32.1,3.33,1
6.0,74.5,1.25,2
2.6,82.0,2.2,2
58.8,66.2,2.6,0
33.3,69.9,2.48,0
19.3,74.5,1.76,2
36.9,67.2,4.56,0
4.2,80.4,2.05,2
4.6,81.4,3.03,2
4.0,81.7,1.46,2
18.1,74.7,2.17,2
3.2,82.8,1.39,2
21.1,75.8,3.66,0
21.5,68.4,2.6,0
62.2,62.8,4.37,0
62.7,60.7,3.84,0
10.8,78.2,2.21,2
29.6,68.5,3.1,0
78.9,63.8,3.15,0
7.8,73.1,1.36,2
10.3,79.8,1.61,2
99.7,46.5,3.3,1
89.3,60.8,5.02,1
16.6,76.1,2.41,2
6.1,73.2,1.5,2
2.8,81.3,1.63,2
10.4,74.0,1.47,2
62.2,60.8,4.6,1
90.5,53.1,5.31,1
7.9,74.5,2.15,2
13.2,77.9,2.23,2
137.0,59.5,6.55,1
6.8,80.3,1.36,2
97.4,68.2,4.98,1
15.0,73.4,1.57,2
40.0,65.4,3.46,0
17.2,69.7,1.27,2
26.1,66.2,2.64,0
6.8,76.4,1.77,2
33.5,73.5,2.58,0
101.0,54.5,5.56,1
64.4,66.8,2.41,0
56.0,58.6,3.6,0
47.0,68.3,2.61,0
4.5,80.7,1.79,2
6.2,80.9,2.17,2
123.0,58.8,7.49,1
130.0,60.5,5.84,1
3.2,81.0,1.95,2
11.7,76.1,2.9,2
92.1,65.3,3.85,0
19.7,77.8,2.62,2
24.1,74.1,2.73,2
20.3,77.9,2.54,2
31.9,69.0,3.16,0
6.0,76.3,1.41,2
3.9,79.8,1.39,2
9.0,79.5,2.07,2
11.5,73.7,1.59,2
10.0,69.2,1.57,2
63.6,64.6,4.51,0
18.9,71.5,4.34,0
15.7,75.1,2.96,2
66.8,64.0,5.06,1
7.6,74.7,1.4,2
14.4,73.4,2.17,2
160.0,55.0,5.2,1
2.8,82.7,1.15,2
7.0,75.5,1.43,2
3.2,79.5,1.57,2
28.1,61.7,4.24,0
53.7,54.3,2.59,0
4.1,80.1,1.23,2
3.8,81.9,1.37,2
11.2,74.4,2.2,2
20.7,71.6,2.07,2
76.7,66.3,4.88,1
24.1,70.3,2.52,0
3.0,81.5,1.98,2
4.5,82.2,1.52,2
52.4,69.6,3.51,0
71.9,59.3,5.43,1
14.9,76.6,1.55,2
62.6,71.1,6.23,1
90.3,58.7,4.87,1
17.4,69.9,3.91,0
17.4,76.9,2.14,2
19.1,78.2,2.15,2
62.0,67.9,2.83,0
81.0,56.8,6.15,1
11.7,70.4,1.44,2
8.6,76.5,1.87,2
5.2,80.3,1.92,2
7.3,78.7,1.93,2
10.6,76.4,2.08,2
36.3,68.8,2.34,0
29.2,63.0,3.5,0
17.1,75.4,2.47,2
23.3,73.1,1.95,2
56.3,67.5,4.67,0
83.1,52.0,5.4,1
