Age,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,Cluster
49,3.326911320481104,1,1.0,16,63,43,6,-1
29,19.62646247850453,0,2.0,10,99,48,11,-1
32,23.32208579857633,0,1.0,11,17,12,34,-1
49,10.348791401534967,0,1.0,7,149,44,38,-1
48,6.238741796428113,0,0.0,10,127,14,4,-1
43,3.8458676093275033,0,0.0,11,170,60,34,-1
15,12.496477746473357,0,1.0,5,11,67,40,-1
18,10.850420835012434,0,2.0,16,85,84,25,-1
45,15.88324057060239,0,0.0,13,175,25,18,-1
44,16.716541893045036,0,0.0,4,53,8,30,-1
48,17.841126559772135,0,2.0,19,84,71,40,-1
18,23.61890031935928,1,0.0,0,10,33,35,-1
48,19.328903208239264,0,0.0,18,55,60,42,-1
49,4.680904119898592,0,1.0,0,75,7,36,-1
36,21.59986846156692,0,2.0,4,132,61,16,-1
23,0.1310253259460685,0,0.0,0,149,24,2,-1
41,10.423866593634376,0,0.0,7,108,78,8,-1
28,15.755812810302976,0,1.0,18,153,81,7,-1
31,6.926827178913354,0,0.0,19,19,62,7,-1
38,16.26472507277258,0,1.0,17,62,16,46,-1
29,3.952369275938642,0,0.0,17,121,44,23,-1
28,22.653546725453964,0,0.0,9,169,42,32,-1
23,18.55327959144355,0,0.0,19,41,53,20,-1
20,16.25843183116664,0,0.0,16,103,87,16,-1
39,14.681061792461696,0,1.0,7,159,52,26,-1
41,20.839053923076,0,0.0,19,79,26,18,-1
40,9.583635613714748,0,2.0,3,83,67,1,-1
35,23.84647971202036,0,0.0,6,156,4,21,-1
20,18.921123790663284,0,0.0,2,64,54,25,-1
31,2.7020152238801227,0,2.0,0,164,57,9,-1
31,8.748144446620369,1,2.0,6,36,24,10,-1
41,17.167602538582784,0,0.0,17,109,44,18,-1
41,10.570970014974078,0,1.0,7,28,44,5,-1
41,14.528814507664364,0,1.0,5,64,50,45,-1
42,3.869006111060553,0,0.0,7,166,79,8,2
21,19.22841415249192,0,0.0,1,71,41,43,-1
26,10.88236422325679,0,0.0,14,106,48,14,0
43,7.584836022947157,0,2.0,4,57,72,34,-1
40,19.11162572220005,0,1.0,17,110,71,5,-1
23,12.057588854495751,0,1.0,9,94,33,39,-1
45,8.638847585829298,0,0.0,0,100,77,39,-1
43,12.502444070595626,1,1.0,5,49,77,17,-1
20,4.200206836849012,0,1.0,19,134,53,20,-1
29,16.07650628662454,0,0.0,16,147,46,23,-1
25,6.51436310190227,0,0.0,2,176,76,34,-1
17,2.6191117321133888,0,2.0,19,142,63,39,-1
24,19.48168069612761,0,0.0,10,56,63,31,-1
17,11.689979025732324,1,0.0,8,19,67,28,-1
21,9.637035358459318,0,0.0,6,57,42,46,-1
24,21.88192989046821,0,2.0,13,114,50,23,-1
34,22.87444587256196,0,2.0,17,123,1,36,-1
37,6.190253508873044,0,0.0,2,57,77,46,-1
33,5.173043098290008,0,0.0,3,124,36,33,-1
30,17.09881132183437,0,1.0,0,179,18,11,-1
45,23.862295014943133,0,2.0,3,57,27,18,-1
15,0.2960557824773167,0,1.0,16,63,40,14,-1
17,12.40380440318178,0,0.0,0,100,49,14,-1
43,10.31204322243993,0,2.0,13,52,25,31,-1
40,22.463002759473795,1,0.0,7,104,25,21,-1
29,9.895339715495028,0,1.0,9,153,77,30,-1
32,6.487685160533398,0,2.0,12,37,67,25,-1
44,2.2557040380942883,0,2.0,9,163,62,22,-1
41,22.36684959038733,0,1.0,14,120,76,29,-1
22,6.343428841166818,1,1.0,8,103,43,10,-1
27,5.896640455442638,1,0.0,11,164,95,17,-1
18,17.34131750213045,1,1.0,11,10,96,35,-1
19,4.88652738835791,0,0.0,17,174,16,43,-1
31,6.061133155104817,0,2.0,7,153,21,1,-1
18,10.165136200194016,0,0.0,4,36,40,42,-1
31,19.734956696083948,0,2.0,16,91,77,32,-1
26,20.106653363888405,0,0.0,3,62,79,24,-1
49,22.582307374807822,1,0.0,8,141,67,1,-1
42,8.482453272426271,1,0.0,15,46,43,38,-1
40,4.429385875069006,0,0.0,4,94,13,49,-1
16,13.83627328294971,0,2.0,16,53,28,45,-1
45,17.313866547054484,0,1.0,0,88,70,36,-1
43,14.62272385266234,0,2.0,1,114,57,22,-1
42,22.36851036903683,0,0.0,7,165,70,48,-1
28,14.77171530600164,1,0.0,13,105,18,18,-1
48,20.75776567514493,0,0.0,5,126,22,8,-1
30,3.5243445076668403,0,1.0,18,33,8,39,-1
26,16.00563527274172,1,1.0,16,120,66,19,-1
47,13.872848780237971,0,1.0,10,119,72,49,-1
35,10.19953634866416,1,1.0,4,37,96,0,-1
15,18.08002870445183,0,1.0,16,57,93,36,-1
15,21.65245578191552,0,0.0,3,101,87,34,-1
34,7.874386377315869,0,0.0,6,36,50,31,-1
29,8.579246364498777,0,0.0,18,101,37,27,-1
38,16.908184428668264,0,1.0,6,97,78,6,-1
27,19.71014233509805,0,0.0,10,119,57,18,-1
46,21.174593633222464,0,0.0,6,159,76,38,-1
17,17.27736992975119,0,1.0,12,121,60,32,-1
27,0.5728595865819042,0,2.0,4,98,46,11,-1
44,21.49074235791448,0,1.0,6,81,27,6,-1
19,9.69085058082241,0,1.0,15,160,75,15,-1
31,2.2541537004344327,1,2.0,2,167,98,39,-1
42,8.600089965073689,0,1.0,2,36,35,4,-1
35,21.572897895177025,0,0.0,1,141,10,41,-1
40,12.297057443308947,0,0.0,7,17,47,29,-1
32,15.786657059317529,0,1.0,8,50,52,45,-1
20,5.611580394760318,1,2.0,1,53,71,23,-1
30,3.665065171347937,0,2.0,9,143,99,41,-1
24,21.776282411400985,1,1.0,15,157,27,7,-1
45,7.666887226717228,0,0.0,14,104,43,48,-1
