Spending Score (1-100),Annual Income (k$),Cluster
39,15,2
81,15,0
6,16,1
77,16,0
40,17,2
76,17,0
6,18,1
94,18,-1
3,19,1
72,19,0
14,19,1
99,19,-1
15,20,1
77,20,0
13,20,1
79,20,0
35,21,2
66,21,0
29,23,2
98,23,-1
35,24,2
73,24,0
5,25,1
73,25,0
14,28,1
82,28,0
32,28,2
61,28,0
31,29,2
87,29,0
4,30,1
73,30,0
4,33,1
92,33,0
14,33,1
81,33,0
17,34,1
73,34,0
26,37,-1
75,37,0
35,38,3
92,38,-1
36,39,3
61,39,3
28,39,3
65,39,3
55,40,3
47,40,3
42,40,3
52,42,3
60,42,3
54,43,3
60,43,3
45,43,3
41,43,3
50,44,3
46,44,3
51,46,3
46,46,3
56,46,3
55,46,3
52,47,3
59,47,3
51,48,3
59,48,3
50,48,3
48,48,3
47,48,3
55,49,3
42,49,3
49,50,3
56,50,3
47,54,3
54,54,3
53,54,3
48,54,3
52,54,3
42,54,3
51,54,3
55,54,3
41,54,3
44,54,3
57,54,3
46,54,3
58,57,3
55,57,3
60,58,3
46,58,3
55,59,3
41,59,3
49,60,3
40,60,3
42,60,3
52,60,3
47,60,3
50,60,3
42,61,3
49,61,3
41,62,3
48,62,3
59,62,3
55,62,3
56,62,3
42,62,3
50,63,3
46,63,3
43,63,3
48,63,3
52,63,3
54,63,3
42,64,3
46,64,3
48,65,3
50,65,3
43,65,3
59,65,3
43,67,3
57,67,3
56,67,3
40,67,3
58,69,3
91,69,4
29,70,3
77,70,4
35,71,3
95,71,4
11,71,5
75,71,4
9,71,5
34,72,3
71,72,4
5,73,5
88,73,4
7,73,5
73,73,4
10,74,5
72,74,4
5,75,5
93,75,4
40,76,3
87,76,4
12,77,5
97,77,4
36,77,3
74,77,4
22,78,5
90,78,4
17,78,5
88,78,4
20,78,5
76,78,4
16,78,5
89,78,4
1,78,5
78,78,4
73,78,4
35,79,3
83,79,4
5,81,5
93,81,4
26,85,5
75,85,4
20,86,5
95,86,4
27,87,5
63,87,4
13,87,5
75,87,4
10,87,5
92,87,4
13,88,5
86,88,4
15,88,5
69,88,4
14,93,5
90,93,4
32,97,-1
86,97,4
15,98,5
88,98,4
39,99,-1
97,99,-1
24,101,6
68,101,-1
17,103,6
85,103,4
23,103,6
69,103,-1
8,113,-1
91,113,-1
16,120,-1
79,120,-1
28,126,-1
74,126,-1
18,137,-1
83,137,-1
