Spending Score (1-100),Annual Income (k$),Age,Cluster
39,15,19,-1
81,15,21,0
6,16,20,-1
77,16,23,0
40,17,31,0
76,17,22,0
6,18,35,-1
94,18,23,0
3,19,64,-1
72,19,30,0
14,19,67,-1
99,19,35,-1
15,20,58,-1
77,20,24,0
13,20,37,-1
79,20,22,0
35,21,35,0
66,21,20,0
29,23,52,0
98,23,35,-1
35,24,35,0
73,24,25,0
5,25,46,1
73,25,31,0
14,28,54,1
82,28,29,0
32,28,45,0
61,28,35,0
31,29,40,0
87,29,23,0
4,30,60,-1
73,30,21,0
4,33,53,1
92,33,18,0
14,33,49,1
81,33,21,0
17,34,42,1
73,34,30,0
26,37,36,0
75,37,20,0
35,38,65,0
92,38,24,0
36,39,48,0
61,39,31,0
28,39,49,0
65,39,24,0
55,40,50,0
47,40,27,0
42,40,29,0
42,40,31,0
52,42,49,0
60,42,33,0
54,43,31,0
60,43,59,0
45,43,50,0
41,43,47,0
50,44,51,0
46,44,69,0
51,46,27,0
46,46,53,0
56,46,70,0
55,46,19,0
52,47,67,0
59,47,54,0
51,48,63,0
59,48,18,0
50,48,43,0
48,48,68,0
59,48,19,0
47,48,32,0
55,49,70,0
42,49,47,0
49,50,60,0
56,50,60,0
47,54,59,0
54,54,26,0
53,54,45,0
48,54,40,0
52,54,23,0
42,54,49,0
51,54,57,0
55,54,38,0
41,54,67,0
44,54,46,0
57,54,21,0
46,54,48,0
58,57,55,0
55,57,22,0
60,58,34,0
46,58,50,0
55,59,68,0
41,59,18,0
49,60,48,0
40,60,40,0
42,60,32,0
52,60,24,0
47,60,47,0
50,60,27,0
42,61,48,0
49,61,20,0
41,62,23,0
48,62,49,0
59,62,67,0
55,62,26,0
56,62,49,0
42,62,21,0
50,63,66,0
46,63,54,0
43,63,68,0
48,63,66,0
52,63,65,0
54,63,19,0
42,64,38,0
46,64,19,0
48,65,18,0
50,65,19,0
43,65,63,0
59,65,49,0
43,67,51,0
57,67,50,0
56,67,27,0
40,67,38,0
58,69,40,0
91,69,39,2
29,70,23,0
77,70,31,2
35,71,43,0
95,71,40,2
11,71,59,0
75,71,38,2
9,71,47,0
75,71,39,2
34,72,25,0
71,72,31,2
5,73,20,-1
88,73,29,2
7,73,44,0
73,73,32,2
10,74,19,-1
72,74,35,2
5,75,57,0
93,75,32,2
40,76,28,0
87,76,32,2
12,77,25,-1
97,77,28,2
36,77,48,0
74,77,32,2
22,78,34,0
90,78,34,2
17,78,43,0
88,78,39,2
20,78,44,0
76,78,38,2
16,78,47,0
89,78,27,2
1,78,37,0
78,78,30,2
1,78,34,0
73,78,30,2
35,79,56,-1
83,79,29,2
5,81,19,-1
93,81,31,2
26,85,50,0
75,85,36,2
20,86,42,0
95,86,33,2
27,87,36,0
63,87,32,2
13,87,40,0
75,87,28,2
10,87,36,0
92,87,36,2
13,88,52,0
86,88,30,2
15,88,58,0
69,88,27,2
14,93,59,0
90,93,35,2
32,97,37,0
86,97,32,2
15,98,46,0
88,98,29,2
39,99,41,-1
97,99,30,2
24,101,54,-1
68,101,28,2
17,103,41,0
85,103,36,2
23,103,34,0
69,103,32,2
8,113,33,-1
91,113,38,2
16,120,47,-1
79,120,35,-1
28,126,45,-1
74,126,32,-1
18,137,32,-1
83,137,30,-1
