Age,Spending Score (1-100),Annual Income (k$),Cluster
19,39,15,4
21,81,15,4
20,6,16,2
23,77,16,4
31,40,17,4
22,76,17,4
35,6,18,2
23,94,18,4
64,3,19,2
30,72,19,4
67,14,19,2
35,99,19,4
58,15,20,2
24,77,20,4
37,13,20,2
22,79,20,4
35,35,21,2
20,66,21,4
52,29,23,2
35,98,23,4
35,35,24,2
25,73,24,4
46,5,25,2
31,73,25,4
54,14,28,2
29,82,28,4
45,32,28,2
35,61,28,4
40,31,29,2
23,87,29,4
60,4,30,2
21,73,30,4
53,4,33,2
18,92,33,4
49,14,33,2
21,81,33,4
42,17,34,2
30,73,34,4
36,26,37,2
20,75,37,4
65,35,38,0
24,92,38,4
48,36,39,2
31,61,39,4
49,28,39,2
24,65,39,4
50,55,40,0
27,47,40,4
29,42,40,4
31,42,40,4
49,52,42,0
33,60,42,4
31,54,43,4
59,60,43,0
50,45,43,0
47,41,43,0
51,50,44,0
69,46,44,0
27,51,46,4
53,46,46,0
70,56,46,0
19,55,46,4
67,52,47,0
54,59,47,0
63,51,48,0
18,59,48,4
43,50,48,0
68,48,48,0
19,59,48,4
32,47,48,4
70,55,49,0
47,42,49,0
60,49,50,0
60,56,50,0
59,47,54,0
26,54,54,4
45,53,54,0
40,48,54,0
23,52,54,4
49,42,54,0
57,51,54,0
38,55,54,4
67,41,54,0
46,44,54,0
21,57,54,4
48,46,54,0
55,58,57,0
22,55,57,4
34,60,58,4
50,46,58,0
68,55,59,0
18,41,59,4
48,49,60,0
40,40,60,3
32,42,60,4
24,52,60,4
47,47,60,0
27,50,60,4
48,42,61,0
20,49,61,4
23,41,62,4
49,48,62,0
67,59,62,0
26,55,62,4
49,56,62,0
21,42,62,4
66,50,63,0
54,46,63,0
68,43,63,0
66,48,63,0
65,52,63,0
19,54,63,4
38,42,64,3
19,46,64,4
18,48,65,4
19,50,65,4
63,43,65,0
49,59,65,0
51,43,67,0
50,57,67,0
27,56,67,4
38,40,67,3
40,58,69,1
39,91,69,1
23,29,70,3
31,77,70,1
43,35,71,3
40,95,71,1
59,11,71,0
38,75,71,1
47,9,71,3
39,75,71,1
25,34,72,3
31,71,72,1
20,5,73,3
29,88,73,1
44,7,73,3
32,73,73,1
19,10,74,3
35,72,74,1
57,5,75,3
32,93,75,1
28,40,76,3
32,87,76,1
25,12,77,3
28,97,77,1
48,36,77,3
32,74,77,1
34,22,78,3
34,90,78,1
43,17,78,3
39,88,78,1
44,20,78,3
38,76,78,1
47,16,78,3
27,89,78,1
37,1,78,3
30,78,78,1
34,1,78,3
30,73,78,1
56,35,79,0
29,83,79,1
19,5,81,3
31,93,81,1
50,26,85,3
36,75,85,1
42,20,86,3
33,95,86,1
36,27,87,3
32,63,87,1
40,13,87,3
28,75,87,1
36,10,87,3
36,92,87,1
52,13,88,3
30,86,88,1
58,15,88,3
27,69,88,1
59,14,93,3
35,90,93,1
37,32,97,3
32,86,97,1
46,15,98,3
29,88,98,1
41,39,99,3
30,97,99,1
54,24,101,3
28,68,101,1
41,17,103,3
36,85,103,1
34,23,103,3
32,69,103,1
33,8,113,3
38,91,113,1
47,16,120,3
35,79,120,1
45,28,126,3
32,74,126,1
32,18,137,3
30,83,137,1
