Spending Score (1-100),Annual Income (k$),Cluster
39,15,-1
81,15,0
6,16,-1
77,16,0
40,17,-1
76,17,0
6,18,-1
94,18,-1
3,19,-1
72,19,0
14,19,-1
99,19,-1
15,20,-1
77,20,0
13,20,-1
79,20,0
35,21,-1
66,21,-1
29,23,-1
98,23,-1
35,24,-1
73,24,1
5,25,-1
73,25,1
14,28,-1
82,28,-1
32,28,-1
61,28,-1
31,29,-1
87,29,-1
4,30,-1
73,30,1
4,33,-1
92,33,-1
14,33,-1
81,33,-1
17,34,-1
73,34,1
26,37,-1
75,37,-1
35,38,-1
92,38,-1
36,39,-1
61,39,2
28,39,-1
65,39,2
55,40,2
47,40,2
42,40,2
52,42,2
60,42,2
54,43,2
60,43,2
45,43,2
41,43,2
50,44,2
46,44,2
51,46,2
46,46,2
56,46,2
55,46,2
52,47,2
59,47,2
51,48,2
59,48,2
50,48,2
48,48,2
47,48,2
55,49,2
42,49,2
49,50,2
56,50,2
47,54,2
54,54,2
53,54,2
48,54,2
52,54,2
42,54,2
51,54,2
55,54,2
41,54,2
44,54,2
57,54,2
46,54,2
58,57,2
55,57,2
60,58,2
46,58,2
55,59,2
41,59,2
49,60,2
40,60,2
42,60,2
52,60,2
47,60,2
50,60,2
42,61,2
49,61,2
41,62,2
48,62,2
59,62,2
55,62,2
56,62,2
42,62,2
50,63,2
46,63,2
43,63,2
48,63,2
52,63,2
54,63,2
42,64,2
46,64,2
48,65,2
50,65,2
43,65,2
59,65,2
43,67,2
57,67,2
56,67,2
40,67,2
58,69,2
91,69,5
29,70,-1
77,70,4
35,71,-1
95,71,5
11,71,3
75,71,4
9,71,3
34,72,6
71,72,4
5,73,3
88,73,5
7,73,3
73,73,4
10,74,3
72,74,4
5,75,3
93,75,5
40,76,6
87,76,5
12,77,3
97,77,5
36,77,6
74,77,4
22,78,7
90,78,5
17,78,7
88,78,5
20,78,7
76,78,4
16,78,7
89,78,5
1,78,3
78,78,4
73,78,4
35,79,6
83,79,5
5,81,3
93,81,5
26,85,-1
75,85,-1
20,86,-1
95,86,5
27,87,-1
63,87,-1
13,87,8
75,87,-1
10,87,8
92,87,-1
13,88,8
86,88,-1
15,88,8
69,88,-1
14,93,8
90,93,-1
32,97,-1
86,97,-1
15,98,8
88,98,-1
39,99,-1
97,99,-1
24,101,-1
68,101,-1
17,103,-1
85,103,-1
23,103,-1
69,103,-1
8,113,-1
91,113,-1
16,120,-1
79,120,-1
28,126,-1
74,126,-1
18,137,-1
83,137,-1
