child_mort,total_fer,life_expec,Cluster
90.2,5.82,56.2,0
16.6,1.65,76.3,1
27.3,2.89,76.5,1
119.0,6.16,60.1,0
10.3,2.13,76.8,1
14.5,2.37,75.8,1
18.1,1.69,73.3,1
4.8,1.93,82.0,1
4.3,1.44,80.5,1
39.2,1.92,69.1,1
13.8,1.86,73.8,1
8.6,2.16,76.0,1
49.4,2.33,70.4,1
14.2,1.78,76.7,1
5.5,1.49,70.4,1
4.5,1.86,80.0,1
18.8,2.71,71.4,1
111.0,5.36,61.8,0
42.7,2.38,72.1,1
46.6,3.2,71.6,1
6.9,1.31,76.8,1
52.5,2.88,57.1,-1
19.8,1.8,74.2,1
10.5,1.84,77.1,1
10.8,1.57,73.9,1
116.0,5.87,57.9,0
93.6,6.26,57.7,0
44.4,2.88,66.1,1
108.0,5.11,57.3,0
5.6,1.63,81.3,1
26.5,2.67,72.5,1
149.0,5.21,47.5,-1
150.0,6.59,56.5,-1
8.7,1.88,79.1,1
15.7,1.59,74.6,1
18.6,2.01,76.4,1
88.2,4.75,65.9,0
116.0,6.54,57.5,0
63.9,4.95,60.4,0
10.2,1.92,80.4,1
111.0,5.27,56.3,0
5.5,1.55,76.3,1
3.6,1.42,79.9,1
3.4,1.51,77.5,1
4.1,1.87,79.5,1
34.4,2.6,74.6,1
25.1,2.66,76.7,1
29.1,3.19,70.5,1
19.2,2.27,74.1,1
111.0,5.21,60.9,0
55.2,4.61,61.7,0
4.5,1.72,76.0,1
24.1,2.67,65.3,1
3.0,1.87,80.0,1
4.2,2.03,81.4,1
63.7,4.08,62.9,0
80.3,5.71,65.5,0
16.5,1.92,72.8,1
4.2,1.39,80.1,1
74.7,4.27,62.2,0
3.9,1.48,80.4,1
14.6,2.24,71.3,1
35.4,3.38,71.3,1
109.0,5.34,58.0,0
114.0,5.05,55.6,0
37.6,2.65,65.5,1
208.0,3.33,32.1,-1
6.0,1.25,74.5,1
2.6,2.2,82.0,1
58.8,2.6,66.2,1
33.3,2.48,69.9,1
19.3,1.76,74.5,1
36.9,4.56,67.2,0
4.2,2.05,80.4,1
4.6,3.03,81.4,1
4.0,1.46,81.7,1
18.1,2.17,74.7,1
3.2,1.39,82.8,1
21.1,3.66,75.8,1
21.5,2.6,68.4,1
62.2,4.37,62.8,0
62.7,3.84,60.7,0
10.8,2.21,78.2,1
29.6,3.1,68.5,1
78.9,3.15,63.8,0
7.8,1.36,73.1,1
10.3,1.61,79.8,1
99.7,3.3,46.5,-1
89.3,5.02,60.8,0
16.6,2.41,76.1,1
6.1,1.5,73.2,1
2.8,1.63,81.3,1
10.4,1.47,74.0,1
62.2,4.6,60.8,0
90.5,5.31,53.1,0
7.9,2.15,74.5,1
13.2,2.23,77.9,1
137.0,6.55,59.5,-1
6.8,1.36,80.3,1
97.4,4.98,68.2,0
15.0,1.57,73.4,1
40.0,3.46,65.4,1
17.2,1.27,69.7,1
26.1,2.64,66.2,1
6.8,1.77,76.4,1
33.5,2.58,73.5,1
101.0,5.56,54.5,0
64.4,2.41,66.8,1
56.0,3.6,58.6,0
47.0,2.61,68.3,1
4.5,1.79,80.7,1
6.2,2.17,80.9,1
123.0,7.49,58.8,-1
130.0,5.84,60.5,0
3.2,1.95,81.0,1
11.7,2.9,76.1,1
92.1,3.85,65.3,0
19.7,2.62,77.8,1
24.1,2.73,74.1,1
20.3,2.54,77.9,1
31.9,3.16,69.0,1
6.0,1.41,76.3,1
3.9,1.39,79.8,1
9.0,2.07,79.5,1
11.5,1.59,73.7,1
10.0,1.57,69.2,1
63.6,4.51,64.6,0
18.9,4.34,71.5,-1
15.7,2.96,75.1,1
66.8,5.06,64.0,0
7.6,1.4,74.7,1
14.4,2.17,73.4,1
160.0,5.2,55.0,-1
2.8,1.15,82.7,1
7.0,1.43,75.5,1
3.2,1.57,79.5,1
28.1,4.24,61.7,0
53.7,2.59,54.3,-1
4.1,1.23,80.1,1
3.8,1.37,81.9,1
11.2,2.2,74.4,1
20.7,2.07,71.6,1
76.7,4.88,66.3,0
24.1,2.52,70.3,1
3.0,1.98,81.5,1
4.5,1.52,82.2,1
52.4,3.51,69.6,1
71.9,5.43,59.3,0
14.9,1.55,76.6,1
62.6,6.23,71.1,-1
90.3,4.87,58.7,0
17.4,3.91,69.9,1
17.4,2.14,76.9,1
19.1,2.15,78.2,1
62.0,2.83,67.9,1
81.0,6.15,56.8,0
11.7,1.44,70.4,1
8.6,1.87,76.5,1
5.2,1.92,80.3,1
7.3,1.93,78.7,1
10.6,2.08,76.4,1
36.3,2.34,68.8,1
29.2,3.5,63.0,1
17.1,2.47,75.4,1
23.3,1.95,73.1,1
56.3,4.67,67.5,0
83.1,5.4,52.0,0
