Spending Score (1-100),Annual Income (k$),Cluster
39.0,15.0,-1
81.0,15.0,-1
6.0,16.0,-1
77.0,16.0,-1
40.0,17.0,-1
76.0,17.0,-1
6.0,18.0,-1
94.0,18.0,-1
3.0,19.0,-1
72.0,19.0,-1
14.0,19.0,-1
99.0,19.0,-1
15.0,20.0,-1
77.0,20.0,-1
13.0,20.0,-1
79.0,20.0,-1
35.0,21.0,-1
66.0,21.0,-1
29.0,23.0,-1
98.0,23.0,-1
35.0,24.0,-1
73.0,24.0,-1
5.0,25.0,-1
73.0,25.0,-1
14.0,28.0,-1
82.0,28.0,-1
32.0,28.0,-1
61.0,28.0,-1
31.0,29.0,-1
87.0,29.0,-1
4.0,30.0,-1
73.0,30.0,-1
4.0,33.0,-1
92.0,33.0,-1
14.0,33.0,-1
81.0,33.0,-1
17.0,34.0,-1
73.0,34.0,-1
26.0,37.0,-1
75.0,37.0,-1
35.0,38.0,-1
92.0,38.0,-1
36.0,39.0,-1
61.0,39.0,-1
28.0,39.0,-1
65.0,39.0,-1
55.0,40.0,0
47.0,40.0,-1
42.0,40.0,-1
42.0,40.0,-1
52.0,42.0,0
60.0,42.0,-1
54.0,43.0,0
60.0,43.0,-1
45.0,43.0,0
41.0,43.0,-1
50.0,44.0,0
46.0,44.0,0
51.0,46.0,0
46.0,46.0,0
56.0,46.0,0
55.0,46.0,0
52.0,47.0,0
59.0,47.0,0
51.0,48.0,0
59.0,48.0,0
50.0,48.0,0
48.0,48.0,0
59.0,48.0,0
47.0,48.0,0
55.0,49.0,0
42.0,49.0,-1
49.0,50.0,0
56.0,50.0,0
47.0,54.0,1
54.0,54.0,1
53.0,54.0,1
48.0,54.0,1
52.0,54.0,1
42.0,54.0,1
51.0,54.0,1
55.0,54.0,1
41.0,54.0,1
44.0,54.0,1
57.0,54.0,1
46.0,54.0,1
58.0,57.0,1
55.0,57.0,1
60.0,58.0,1
46.0,58.0,1
55.0,59.0,1
41.0,59.0,1
49.0,60.0,1
40.0,60.0,1
42.0,60.0,1
52.0,60.0,1
47.0,60.0,1
50.0,60.0,1
42.0,61.0,1
49.0,61.0,1
41.0,62.0,1
48.0,62.0,1
59.0,62.0,1
55.0,62.0,1
56.0,62.0,1
42.0,62.0,1
50.0,63.0,1
46.0,63.0,1
43.0,63.0,1
48.0,63.0,1
52.0,63.0,1
54.0,63.0,1
42.0,64.0,1
46.0,64.0,1
48.0,65.0,1
50.0,65.0,1
43.0,65.0,1
59.0,65.0,2
43.0,67.0,1
57.0,67.0,2
56.0,67.0,2
40.0,67.0,1
58.0,69.0,2
91.0,69.0,-1
29.0,70.0,-1
77.0,70.0,3
35.0,71.0,-1
95.0,71.0,-1
11.0,71.0,4
75.0,71.0,3
9.0,71.0,4
75.0,71.0,3
34.0,72.0,-1
71.0,72.0,3
5.0,73.0,4
88.0,73.0,5
7.0,73.0,4
73.0,73.0,3
10.0,74.0,4
72.0,74.0,3
5.0,75.0,4
93.0,75.0,-1
40.0,76.0,-1
87.0,76.0,5
12.0,77.0,-1
97.0,77.0,-1
36.0,77.0,-1
74.0,77.0,6
22.0,78.0,-1
90.0,78.0,5
17.0,78.0,-1
88.0,78.0,5
20.0,78.0,-1
76.0,78.0,6
16.0,78.0,-1
89.0,78.0,5
1.0,78.0,-1
78.0,78.0,6
1.0,78.0,-1
73.0,78.0,6
35.0,79.0,-1
83.0,79.0,-1
5.0,81.0,-1
93.0,81.0,-1
26.0,85.0,-1
75.0,85.0,-1
20.0,86.0,-1
95.0,86.0,-1
27.0,87.0,-1
63.0,87.0,-1
13.0,87.0,7
75.0,87.0,-1
10.0,87.0,7
92.0,87.0,-1
13.0,88.0,7
86.0,88.0,-1
15.0,88.0,7
69.0,88.0,-1
14.0,93.0,-1
90.0,93.0,-1
32.0,97.0,-1
86.0,97.0,-1
15.0,98.0,-1
88.0,98.0,-1
39.0,99.0,-1
97.0,99.0,-1
24.0,101.0,-1
68.0,101.0,-1
17.0,103.0,-1
85.0,103.0,-1
23.0,103.0,-1
69.0,103.0,-1
8.0,113.0,-1
91.0,113.0,-1
16.0,120.0,-1
79.0,120.0,-1
28.0,126.0,-1
74.0,126.0,-1
18.0,137.0,-1
83.0,137.0,-1
