Spending Score (1-100),Annual Income (k$),Cluster
39,15,4
81,15,3
6,16,4
77,16,3
40,17,4
76,17,3
6,18,4
94,18,3
3,19,4
72,19,3
14,19,4
99,19,3
15,20,4
77,20,3
13,20,4
79,20,3
35,21,4
66,21,3
29,23,4
98,23,3
35,24,4
73,24,3
5,25,4
73,25,3
14,28,4
82,28,3
32,28,4
61,28,3
31,29,4
87,29,3
4,30,4
73,30,3
4,33,4
92,33,3
14,33,4
81,33,3
17,34,4
73,34,3
26,37,4
75,37,3
35,38,4
92,38,3
36,39,4
61,39,2
28,39,4
65,39,2
55,40,2
47,40,2
42,40,2
42,40,2
52,42,2
60,42,2
54,43,2
60,43,2
45,43,2
41,43,2
50,44,2
46,44,2
51,46,2
46,46,2
56,46,2
55,46,2
52,47,2
59,47,2
51,48,2
59,48,2
50,48,2
48,48,2
59,48,2
47,48,2
55,49,2
42,49,2
49,50,2
56,50,2
47,54,2
54,54,2
53,54,2
48,54,2
52,54,2
42,54,2
51,54,2
55,54,2
41,54,2
44,54,2
57,54,2
46,54,2
58,57,2
55,57,2
60,58,2
46,58,2
55,59,2
41,59,2
49,60,2
40,60,2
42,60,2
52,60,2
47,60,2
50,60,2
42,61,2
49,61,2
41,62,2
48,62,2
59,62,2
55,62,2
56,62,2
42,62,2
50,63,2
46,63,2
43,63,2
48,63,2
52,63,2
54,63,2
42,64,2
46,64,2
48,65,2
50,65,2
43,65,2
59,65,2
43,67,2
57,67,2
56,67,2
40,67,2
58,69,2
91,69,1
29,70,2
77,70,1
35,71,2
95,71,1
11,71,0
75,71,1
9,71,0
75,71,1
34,72,2
71,72,1
5,73,0
88,73,1
7,73,0
73,73,1
10,74,0
72,74,1
5,75,0
93,75,1
40,76,2
87,76,1
12,77,0
97,77,1
36,77,2
74,77,1
22,78,0
90,78,1
17,78,0
88,78,1
20,78,0
76,78,1
16,78,0
89,78,1
1,78,0
78,78,1
1,78,0
73,78,1
35,79,2
83,79,1
5,81,0
93,81,1
26,85,0
75,85,1
20,86,0
95,86,1
27,87,0
63,87,1
13,87,0
75,87,1
10,87,0
92,87,1
13,88,0
86,88,1
15,88,0
69,88,1
14,93,0
90,93,1
32,97,0
86,97,1
15,98,0
88,98,1
39,99,0
97,99,1
24,101,0
68,101,1
17,103,0
85,103,1
23,103,0
69,103,1
8,113,0
91,113,1
16,120,0
79,120,1
28,126,0
74,126,1
18,137,0
83,137,1
