Cluster,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
0,4.327777777777778,32.31666666666667,10.502222222222223,31.83888888888889,37555.555555555555,1.3848888888888888,80.9,1.8044444444444443,41044.444444444445
1,9.366666666666665,38.233333333333334,8.940833333333332,50.375,17038.333333333332,3.5565833333333337,76.15833333333333,1.57,12707.5
2,4.18,71.02000000000001,10.553999999999998,61.32000000000001,50020.0,1.155,80.86,1.834,61160.0
3,4.8,176.5,6.305,164.0,50200.0,1.8920000000000001,81.5,1.255,33850.0
4,20.28235294117647,25.91176470588235,6.101176470588236,25.129411764705882,13867.058823529413,11.091176470588236,74.59411764705882,2.2682352941176473,7202.941176470588
5,100.55263157894737,27.510526315789477,5.355263157894737,40.22105263157895,1690.4736842105262,6.603947368421053,58.41052631578947,5.501052631578947,732.0
6,11.785714285714286,66.02857142857144,3.577142857142857,41.31428571428571,53542.857142857145,13.54857142857143,76.44285714285715,2.335714285714286,25742.85714285714
7,17.664,39.616,6.026,52.356,11162.4,4.56748,73.27199999999999,2.22,5608.8
8,39.790000000000006,47.33,6.5120000000000005,62.82000000000001,6341.0,5.733,63.21999999999999,3.0490000000000004,3361.6
9,10.299999999999999,74.63333333333334,6.618333333333333,73.3,19474.166666666668,2.4356666666666666,75.79166666666667,1.8041666666666665,11745.0
10,56.166666666666664,27.291933333333336,4.016,31.417726666666667,5190.666666666667,10.504666666666667,67.0,3.2093333333333334,1978.5333333333333
11,130.0,25.3,5.07,17.4,5150.0,104.0,60.5,5.84,2330.0
12,72.925,23.825,12.1,88.625,2037.5,3.735,58.35,3.905,1461.75
13,97.825,70.975,3.5500000000000003,54.425,12027.5,21.724999999999998,62.4,5.325,6142.5
14,9.0,62.3,1.81,23.8,125000.0,6.98,79.5,2.07,70300.0
15,208.0,15.3,6.91,64.7,1500.0,5.45,32.1,3.33,662.0
16,58.125,22.825,7.2575,28.375,5600.0,21.575000000000003,68.025,5.085,2722.5
17,2.8,175.0,7.77,142.0,91700.0,3.62,81.3,1.63,105000.0
18,102.62857142857142,14.131428571428572,9.575714285714286,34.57142857142857,1329.142857142857,8.847142857142858,57.68571428571429,5.551428571428572,494.7142857142857
19,21.6,37.6,5.175000000000001,37.150000000000006,12105.0,42.55,70.80000000000001,2.555,8075.0
