Spending Score (1-100),Annual Income (k$),Cluster
39,15,0
81,15,0
6,16,0
77,16,0
40,17,0
76,17,0
6,18,0
94,18,0
3,19,0
72,19,0
14,19,0
99,19,0
15,20,0
77,20,0
13,20,0
79,20,0
35,21,0
66,21,0
29,23,0
98,23,0
35,24,0
73,24,0
5,25,0
73,25,0
14,28,0
82,28,0
32,28,0
61,28,0
31,29,0
87,29,0
4,30,0
73,30,0
4,33,0
92,33,0
14,33,0
81,33,0
17,34,0
73,34,0
26,37,0
75,37,0
35,38,0
92,38,0
36,39,0
61,39,0
28,39,0
65,39,0
55,40,0
47,40,0
42,40,0
42,40,0
52,42,0
60,42,0
54,43,0
60,43,0
45,43,0
41,43,0
50,44,0
46,44,0
51,46,0
46,46,0
56,46,0
55,46,0
52,47,0
59,47,0
51,48,0
59,48,0
50,48,0
48,48,0
59,48,0
47,48,0
55,49,0
42,49,0
49,50,0
56,50,0
47,54,0
54,54,0
53,54,0
48,54,0
52,54,0
42,54,0
51,54,0
55,54,0
41,54,0
44,54,0
57,54,0
46,54,0
58,57,0
55,57,0
60,58,0
46,58,0
55,59,0
41,59,0
49,60,0
40,60,0
42,60,0
52,60,0
47,60,0
50,60,0
42,61,0
49,61,0
41,62,0
48,62,0
59,62,0
55,62,0
56,62,0
42,62,0
50,63,0
46,63,0
43,63,0
48,63,0
52,63,0
54,63,0
42,64,0
46,64,0
48,65,0
50,65,0
43,65,0
59,65,0
43,67,0
57,67,0
56,67,0
40,67,0
58,69,0
91,69,1
29,70,0
77,70,1
35,71,0
95,71,1
11,71,0
75,71,1
9,71,0
75,71,1
34,72,0
71,72,1
5,73,0
88,73,1
7,73,0
73,73,1
10,74,0
72,74,1
5,75,0
93,75,1
40,76,0
87,76,1
12,77,0
97,77,1
36,77,0
74,77,1
22,78,0
90,78,1
17,78,0
88,78,1
20,78,0
76,78,1
16,78,0
89,78,1
1,78,0
78,78,1
1,78,0
73,78,1
35,79,0
83,79,1
5,81,0
93,81,1
26,85,0
75,85,1
20,86,0
95,86,1
27,87,0
63,87,1
13,87,0
75,87,1
10,87,0
92,87,1
13,88,0
86,88,1
15,88,0
69,88,1
14,93,0
90,93,1
32,97,0
86,97,1
15,98,0
88,98,1
39,99,0
97,99,1
24,101,0
68,101,1
17,103,0
85,103,1
23,103,0
69,103,1
8,113,0
91,113,1
16,120,0
79,120,1
28,126,0
74,126,1
18,137,0
83,137,1
