child_mort,gdpp,life_expec,imports,inflation,health,exports,income,total_fer,Cluster
90.2,553,56.2,44.9,9.44,7.58,10.0,1610,5.82,-1
16.6,4090,76.3,48.6,4.49,6.55,28.0,9930,1.65,-1
27.3,4460,76.5,31.4,16.1,4.17,38.4,12900,2.89,-1
119.0,3530,60.1,42.9,22.4,2.85,62.3,5900,6.16,-1
10.3,12200,76.8,58.9,1.44,6.03,45.5,19100,2.13,-1
14.5,10300,75.8,16.0,20.9,8.1,18.9,18700,2.37,-1
18.1,3220,73.3,45.3,7.77,4.4,20.8,6700,1.69,-1
4.8,51900,82.0,20.9,1.16,8.73,19.8,41400,1.93,-1
4.3,46900,80.5,47.8,0.873,11.0,51.3,43200,1.44,-1
39.2,5840,69.1,20.7,13.8,5.88,54.3,16000,1.92,-1
13.8,28000,73.8,43.7,-0.393,7.89,35.0,22900,1.86,-1
8.6,20700,76.0,50.9,7.44,4.97,69.5,41100,2.16,-1
49.4,758,70.4,21.8,7.14,3.52,16.0,2440,2.33,-1
14.2,16000,76.7,48.7,0.321,7.97,39.5,15300,1.78,-1
5.5,6030,70.4,64.5,15.1,5.61,51.4,16200,1.49,-1
4.5,44400,80.0,74.7,1.88,10.7,76.4,41100,1.86,-1
18.8,4340,71.4,57.5,1.14,5.2,58.2,7880,2.71,-1
111.0,758,61.8,37.2,0.885,4.1,23.8,1820,5.36,-1
42.7,2180,72.1,70.7,5.99,5.2,42.5,6420,2.38,-1
46.6,1980,71.6,34.3,8.78,4.84,41.2,5410,3.2,-1
6.9,4610,76.8,51.3,1.4,11.1,29.7,9720,1.31,-1
52.5,6350,57.1,51.3,8.92,8.3,43.6,13300,2.88,-1
19.8,11200,74.2,11.8,8.41,9.01,10.7,14500,1.8,-1
10.5,35300,77.1,28.0,16.7,2.84,67.4,80600,1.84,-1
10.8,6840,73.9,53.0,1.11,6.87,50.2,15300,1.57,-1
116.0,575,57.9,29.6,6.81,6.74,19.2,1430,5.87,-1
93.6,231,57.7,39.2,12.3,11.6,8.92,764,6.26,-1
44.4,786,66.1,59.5,3.12,5.68,54.1,2520,2.88,-1
108.0,1310,57.3,27.0,1.91,5.13,22.2,2660,5.11,-1
5.6,47400,81.3,31.0,2.87,11.3,29.1,40700,1.63,-1
26.5,3310,72.5,61.8,0.505,4.09,32.7,5830,2.67,-1
149.0,446,47.5,26.5,2.01,3.98,11.8,888,5.21,-1
150.0,897,56.5,43.5,6.39,4.53,36.8,1930,6.59,-1
8.7,12900,79.1,31.3,8.96,7.96,37.7,19400,1.88,-1
15.7,4560,74.6,22.6,6.94,5.07,26.3,9530,1.59,-1
18.6,6250,76.4,17.8,3.86,7.59,15.9,10900,2.01,-1
88.2,769,65.9,51.7,3.87,4.51,16.5,1410,4.75,-1
116.0,334,57.5,49.6,20.8,7.91,41.1,609,6.54,-1
63.9,2740,60.4,54.7,20.7,2.46,85.1,5190,4.95,-1
10.2,8200,80.4,35.0,6.57,10.9,33.2,13000,1.92,-1
111.0,1220,56.3,43.3,5.39,5.3,50.6,2690,5.27,-1
5.5,13500,76.3,38.1,0.821,7.76,37.6,20100,1.55,-1
3.6,30800,79.9,57.5,2.01,5.97,50.2,33900,1.42,-1
3.4,19800,77.5,62.9,-1.43,7.88,66.0,28300,1.51,-1
4.1,58000,79.5,43.6,3.22,11.4,50.5,44000,1.87,-1
34.4,5450,74.6,33.3,5.44,6.22,22.7,11100,2.6,-1
25.1,4660,76.7,32.4,7.47,8.06,27.9,9350,2.66,-1
29.1,2600,70.5,26.6,10.1,4.66,21.3,9860,3.19,-1
19.2,2990,74.1,46.6,2.65,6.91,26.9,7300,2.27,-1
111.0,17100,60.9,58.9,24.9,4.48,85.8,33700,5.21,-1
55.2,482,61.7,23.3,11.6,2.66,4.79,1420,4.61,-1
4.5,14600,76.0,68.7,1.74,6.03,75.1,22700,1.72,-1
24.1,3650,65.3,63.9,4.23,4.86,57.8,7350,2.67,-1
3.0,46200,80.0,37.4,0.351,8.95,38.7,39800,1.87,-1
4.2,40600,81.4,28.1,1.05,11.9,26.8,36900,2.03,-1
63.7,8750,62.9,18.9,16.6,3.5,57.7,15400,4.08,-1
80.3,562,65.5,42.7,4.3,5.69,23.8,1660,5.71,-1
16.5,2960,72.8,52.8,8.55,10.1,35.0,6730,1.92,-1
4.2,41800,80.1,37.1,0.758,11.6,42.3,40400,1.39,-1
74.7,1310,62.2,45.9,16.6,5.22,29.5,3060,4.27,-1
3.9,26900,80.4,30.7,0.673,10.3,22.1,28700,1.48,-1
14.6,7370,71.3,49.2,0.48,5.86,23.8,11200,2.24,-1
35.4,2830,71.3,36.3,5.14,6.85,25.8,6710,3.38,-1
109.0,648,58.0,43.2,16.1,4.93,30.3,1190,5.34,-1
114.0,547,55.6,35.2,2.97,8.5,14.9,1390,5.05,-1
37.6,3040,65.5,79.1,5.73,5.38,51.4,5840,2.65,-1
208.0,662,32.1,64.7,5.45,6.91,15.3,1500,3.33,-1
6.0,13100,74.5,76.5,2.33,7.33,81.8,22300,1.25,-1
2.6,41900,82.0,43.3,5.47,9.4,53.4,38800,2.2,-1
58.8,1350,66.2,27.1,8.98,4.05,22.6,4410,2.6,-1
33.3,3110,69.9,22.4,15.3,2.61,24.3,8430,2.48,-1
19.3,6530,74.5,19.4,15.9,5.6,24.4,17400,1.76,-1
36.9,4500,67.2,34.1,16.6,8.41,39.4,12700,4.56,-1
4.2,48700,80.4,86.5,-3.22,9.19,103.0,45700,2.05,-1
4.6,30600,81.4,32.9,1.77,7.63,35.0,29600,3.03,-1
4.0,35800,81.7,27.2,0.319,9.53,25.2,36200,1.46,-1
18.1,4680,74.7,49.6,9.81,4.81,31.3,8000,2.17,-1
3.2,44500,82.8,13.6,-1.9,9.49,15.0,35800,1.39,-1
21.1,3680,75.8,69.0,8.43,8.04,48.3,9470,3.66,-1
21.5,9070,68.4,29.9,19.5,4.29,44.2,20100,2.6,-1
62.2,967,62.8,33.6,2.09,4.75,20.7,2480,4.37,-1
62.7,1490,60.7,79.9,1.52,11.3,13.3,1730,3.84,-1
10.8,38500,78.2,30.4,11.2,2.63,66.7,75200,2.21,-1
29.6,880,68.5,81.7,10.0,6.18,51.6,2790,3.1,-1
78.9,1140,63.8,49.3,9.2,4.47,35.4,3980,3.15,-1
7.8,11300,73.1,55.1,-0.812,6.68,53.7,18300,1.36,-1
10.3,8860,79.8,60.2,0.238,7.03,35.8,16300,1.61,-1
99.7,1170,46.5,101.0,4.15,11.1,39.4,2380,3.3,-1
89.3,327,60.8,92.6,5.47,11.8,19.1,700,5.02,-1
16.6,12100,76.1,42.1,14.2,3.88,65.6,29600,2.41,-1
6.1,12000,73.2,67.2,2.38,7.04,65.3,21100,1.5,-1
2.8,105000,81.3,142.0,3.62,7.77,175.0,91700,1.63,-1
10.4,4540,74.0,58.1,2.04,7.09,39.8,11400,1.47,-1
62.2,413,60.8,43.0,8.79,3.77,25.0,1390,4.6,-1
90.5,459,53.1,34.9,12.1,6.59,22.8,1030,5.31,-1
7.9,9070,74.5,71.0,7.27,4.39,86.9,21100,2.15,-1
13.2,7100,77.9,65.4,2.88,6.33,77.6,10500,2.23,-1
137.0,708,59.5,35.1,4.37,4.98,22.8,1870,6.55,-1
6.8,21100,80.3,154.0,3.83,8.65,153.0,28300,1.36,-1
97.4,1200,68.2,61.2,18.9,4.41,50.7,3320,4.98,-1
15.0,8000,73.4,62.2,1.13,6.0,51.2,15900,1.57,-1
40.0,2860,65.4,81.0,3.8,14.2,23.5,3340,3.46,-1
17.2,1630,69.7,78.5,11.1,11.7,39.2,3910,1.27,-1
26.1,2650,66.2,56.7,39.2,5.44,46.7,7710,2.64,-1
6.8,6680,76.4,62.7,1.6,9.11,37.0,14000,1.77,-1
33.5,2830,73.5,43.0,0.976,5.2,32.2,6440,2.58,-1
101.0,419,54.5,46.2,7.64,5.21,31.5,918,5.56,-1
64.4,988,66.8,0.0659,7.04,1.97,0.109,3720,2.41,-1
56.0,5190,58.6,60.7,3.56,6.78,47.8,8460,3.6,-1
47.0,592,68.3,36.4,15.1,5.25,9.58,1990,2.61,-1
4.5,50300,80.7,63.6,0.848,11.9,72.0,45500,1.79,-1
6.2,33700,80.9,28.0,3.73,10.1,30.3,32300,2.17,-1
123.0,348,58.8,49.1,2.55,5.16,22.2,814,7.49,-1
130.0,2330,60.5,17.4,104.0,5.07,25.3,5150,5.84,-1
3.2,87800,81.0,28.5,5.95,9.48,39.7,62300,1.95,-1
11.7,19300,76.1,41.2,15.6,2.77,65.7,45300,2.9,-1
92.1,1040,65.3,19.4,10.9,2.2,13.5,4280,3.85,-1
19.7,8080,77.8,78.2,2.59,8.1,70.0,15400,2.62,-1
24.1,3230,74.1,51.5,6.1,5.87,55.1,7290,2.73,-1
20.3,5020,77.9,23.8,5.71,5.08,27.8,9960,2.54,-1
31.9,2130,69.0,36.6,4.22,3.61,34.8,5600,3.16,-1
6.0,12600,76.3,42.1,1.66,7.46,40.1,21800,1.41,-1
3.9,22500,79.8,37.4,0.643,11.0,29.9,27200,1.39,-1
9.0,70300,79.5,23.8,6.98,1.81,62.3,125000,2.07,-1
11.5,8230,73.7,38.8,3.53,5.58,32.6,17800,1.59,-1
10.0,10700,69.2,21.1,14.2,5.08,29.2,23100,1.57,-1
63.6,563,64.6,30.0,2.61,10.5,12.0,1350,4.51,-1
18.9,3450,71.5,53.1,1.72,6.47,29.2,5400,4.34,-1
15.7,19300,75.1,33.0,17.2,4.29,49.6,45400,2.96,-1
66.8,1000,64.0,40.3,1.85,5.66,24.9,2180,5.06,-1
7.6,5410,74.7,47.9,5.88,10.4,32.9,12700,1.4,-1
14.4,10800,73.4,108.0,-4.21,3.4,93.8,20400,2.17,-1
160.0,399,55.0,34.5,17.2,13.1,16.8,1220,5.2,-1
2.8,46600,82.7,174.0,-0.046,3.96,200.0,72100,1.15,-1
7.0,16600,75.5,77.8,0.485,8.79,76.3,25200,1.43,-1
3.2,23400,79.5,62.9,-0.987,9.41,64.3,28700,1.57,-1
28.1,1290,61.7,81.2,6.81,8.55,49.3,1780,4.24,-1
53.7,7280,54.3,27.4,6.35,8.94,28.6,12000,2.59,-1
4.1,22100,80.1,46.2,3.16,6.93,49.4,30400,1.23,-1
3.8,30700,81.9,26.8,0.16,9.54,25.5,32500,1.37,-1
11.2,2810,74.4,26.8,22.8,2.94,19.6,8560,2.2,-1
20.7,6230,71.6,57.1,4.44,4.47,26.9,9920,2.07,-1
76.7,1480,66.3,17.2,19.6,6.32,19.7,3370,4.88,-1
24.1,8300,70.3,38.4,7.2,7.01,52.5,14200,2.52,-1
3.0,52100,81.5,40.7,0.991,9.63,46.2,42900,1.98,-1
4.5,74600,82.2,53.3,0.317,11.5,64.0,55500,1.52,-1
52.4,738,69.6,58.6,12.5,5.98,14.9,2110,3.51,-1
71.9,702,59.3,29.1,9.25,6.01,18.7,2090,5.43,-1
14.9,5080,76.6,60.8,4.08,3.88,66.5,13500,1.55,-1
62.6,3600,71.1,27.8,26.5,9.12,2.2,1850,6.23,-1
90.3,488,58.7,57.3,1.18,7.65,40.2,1210,4.87,-1
17.4,3550,69.9,60.3,3.68,5.07,12.4,4980,3.91,-1
17.4,4140,76.9,55.3,3.82,6.21,50.5,10400,2.14,-1
19.1,10700,78.2,25.5,7.01,6.74,20.4,18000,2.15,-1
62.0,4440,67.9,44.5,2.31,2.5,76.3,9940,2.83,-1
81.0,595,56.8,28.6,10.6,9.01,17.1,1540,6.15,-1
11.7,2970,70.4,51.1,13.4,7.72,47.1,7820,1.44,-1
8.6,35000,76.5,63.6,12.5,3.66,77.7,57600,1.87,-1
5.2,38900,80.3,30.8,1.57,9.64,28.2,36200,1.92,-1
7.3,48400,78.7,15.8,1.22,17.9,12.4,49400,1.93,-1
10.6,11900,76.4,25.4,4.91,8.35,26.3,17100,2.08,-1
36.3,1380,68.8,28.5,16.5,5.81,31.7,4240,2.34,-1
29.2,2970,63.0,52.7,2.62,5.25,46.6,2950,3.5,-1
17.1,13500,75.4,17.6,45.9,4.91,28.5,16500,2.47,-1
23.3,1310,73.1,80.2,12.1,6.84,72.0,4490,1.95,-1
56.3,1310,67.5,34.4,23.6,5.18,30.0,4480,4.67,-1
83.1,1460,52.0,30.9,14.0,5.89,37.0,3280,5.4,-1
