Spending Score (1-100),Annual Income (k$),Cluster
39,15,4
81,15,2
6,16,4
77,16,2
40,17,4
76,17,2
6,18,4
94,18,2
3,19,4
72,19,2
14,19,4
99,19,2
15,20,4
77,20,2
13,20,4
79,20,2
35,21,4
66,21,2
29,23,4
98,23,2
35,24,4
73,24,2
5,25,4
73,25,2
14,28,4
82,28,2
32,28,4
61,28,2
31,29,4
87,29,2
4,30,4
73,30,2
4,33,4
92,33,2
14,33,4
81,33,2
17,34,4
73,34,2
26,37,4
75,37,2
35,38,4
92,38,2
36,39,0
61,39,0
28,39,4
65,39,2
55,40,0
47,40,0
42,40,0
52,42,0
60,42,0
54,43,0
60,43,0
45,43,0
41,43,0
50,44,0
46,44,0
51,46,0
46,46,0
56,46,0
55,46,0
52,47,0
59,47,0
51,48,0
59,48,0
50,48,0
48,48,0
47,48,0
55,49,0
42,49,0
49,50,0
56,50,0
47,54,0
54,54,0
53,54,0
48,54,0
52,54,0
42,54,0
51,54,0
55,54,0
41,54,0
44,54,0
57,54,0
46,54,0
58,57,0
55,57,0
60,58,0
46,58,0
55,59,0
41,59,0
49,60,0
40,60,0
42,60,0
52,60,0
47,60,0
50,60,0
42,61,0
49,61,0
41,62,0
48,62,0
59,62,0
55,62,0
56,62,0
42,62,0
50,63,0
46,63,0
43,63,0
48,63,0
52,63,0
54,63,0
42,64,0
46,64,0
48,65,0
50,65,0
43,65,0
59,65,0
43,67,0
57,67,0
56,67,0
40,67,0
58,69,0
91,69,3
29,70,1
77,70,3
35,71,0
95,71,3
11,71,1
75,71,3
9,71,1
34,72,1
71,72,3
5,73,1
88,73,3
7,73,1
73,73,3
10,74,1
72,74,3
5,75,1
93,75,3
40,76,0
87,76,3
12,77,1
97,77,3
36,77,1
74,77,3
22,78,1
90,78,3
17,78,1
88,78,3
20,78,1
76,78,3
16,78,1
89,78,3
1,78,1
78,78,3
73,78,3
35,79,1
83,79,3
5,81,1
93,81,3
26,85,1
75,85,3
20,86,1
95,86,3
27,87,1
63,87,3
13,87,1
75,87,3
10,87,1
92,87,3
13,88,1
86,88,3
15,88,1
69,88,3
14,93,1
90,93,3
32,97,1
86,97,3
15,98,1
88,98,3
39,99,1
97,99,3
24,101,1
68,101,3
17,103,1
85,103,3
23,103,1
69,103,3
8,113,1
91,113,3
16,120,1
79,120,3
28,126,1
74,126,3
18,137,1
83,137,3
