Spending Score (1-100),Annual Income (k$),Cluster
39.0,15.0,0
81.0,15.0,0
6.0,16.0,0
77.0,16.0,0
40.0,17.0,0
76.0,17.0,0
6.0,18.0,0
94.0,18.0,0
3.0,19.0,0
72.0,19.0,0
14.0,19.0,0
99.0,19.0,0
15.0,20.0,0
77.0,20.0,0
13.0,20.0,0
79.0,20.0,0
35.0,21.0,0
66.0,21.0,0
29.0,23.0,0
98.0,23.0,0
35.0,24.0,0
73.0,24.0,0
5.0,25.0,0
73.0,25.0,0
14.0,28.0,0
82.0,28.0,0
32.0,28.0,0
61.0,28.0,0
31.0,29.0,0
87.0,29.0,0
4.0,30.0,0
73.0,30.0,0
4.0,33.0,0
92.0,33.0,0
14.0,33.0,0
81.0,33.0,0
17.0,34.0,0
73.0,34.0,0
26.0,37.0,0
75.0,37.0,0
35.0,38.0,0
92.0,38.0,0
36.0,39.0,0
61.0,39.0,0
28.0,39.0,0
65.0,39.0,0
55.0,40.0,0
47.0,40.0,0
42.0,40.0,0
42.0,40.0,0
52.0,42.0,0
60.0,42.0,0
54.0,43.0,0
60.0,43.0,0
45.0,43.0,0
41.0,43.0,0
50.0,44.0,0
46.0,44.0,0
51.0,46.0,0
46.0,46.0,0
56.0,46.0,0
55.0,46.0,0
52.0,47.0,0
59.0,47.0,0
51.0,48.0,0
59.0,48.0,0
50.0,48.0,0
48.0,48.0,0
59.0,48.0,0
47.0,48.0,0
55.0,49.0,0
42.0,49.0,0
49.0,50.0,0
56.0,50.0,0
47.0,54.0,0
54.0,54.0,0
53.0,54.0,0
48.0,54.0,0
52.0,54.0,0
42.0,54.0,0
51.0,54.0,0
55.0,54.0,0
41.0,54.0,0
44.0,54.0,0
57.0,54.0,0
46.0,54.0,0
58.0,57.0,0
55.0,57.0,0
60.0,58.0,0
46.0,58.0,0
55.0,59.0,0
41.0,59.0,0
49.0,60.0,0
40.0,60.0,0
42.0,60.0,0
52.0,60.0,0
47.0,60.0,0
50.0,60.0,0
42.0,61.0,0
49.0,61.0,0
41.0,62.0,0
48.0,62.0,0
59.0,62.0,0
55.0,62.0,0
56.0,62.0,0
42.0,62.0,0
50.0,63.0,0
46.0,63.0,0
43.0,63.0,0
48.0,63.0,0
52.0,63.0,0
54.0,63.0,0
42.0,64.0,0
46.0,64.0,0
48.0,65.0,0
50.0,65.0,0
43.0,65.0,0
59.0,65.0,0
43.0,67.0,0
57.0,67.0,0
56.0,67.0,0
40.0,67.0,0
58.0,69.0,0
91.0,69.0,1
29.0,70.0,0
77.0,70.0,1
35.0,71.0,0
95.0,71.0,1
11.0,71.0,0
75.0,71.0,1
9.0,71.0,0
75.0,71.0,1
34.0,72.0,0
71.0,72.0,1
5.0,73.0,0
88.0,73.0,1
7.0,73.0,0
73.0,73.0,1
10.0,74.0,0
72.0,74.0,1
5.0,75.0,0
93.0,75.0,1
40.0,76.0,0
87.0,76.0,1
12.0,77.0,0
97.0,77.0,1
36.0,77.0,0
74.0,77.0,1
22.0,78.0,0
90.0,78.0,1
17.0,78.0,0
88.0,78.0,1
20.0,78.0,0
76.0,78.0,1
16.0,78.0,0
89.0,78.0,1
1.0,78.0,0
78.0,78.0,1
1.0,78.0,0
73.0,78.0,1
35.0,79.0,0
83.0,79.0,1
5.0,81.0,0
93.0,81.0,1
26.0,85.0,0
75.0,85.0,1
20.0,86.0,0
95.0,86.0,1
27.0,87.0,0
63.0,87.0,1
13.0,87.0,0
75.0,87.0,1
10.0,87.0,0
92.0,87.0,1
13.0,88.0,0
86.0,88.0,1
15.0,88.0,0
69.0,88.0,1
14.0,93.0,0
90.0,93.0,1
32.0,97.0,0
86.0,97.0,1
15.0,98.0,0
88.0,98.0,1
39.0,99.0,1
97.0,99.0,1
24.0,101.0,0
68.0,101.0,1
17.0,103.0,0
85.0,103.0,1
23.0,103.0,0
69.0,103.0,1
8.0,113.0,0
91.0,113.0,1
16.0,120.0,1
79.0,120.0,1
28.0,126.0,1
74.0,126.0,1
18.0,137.0,1
83.0,137.0,1
